Time,Tree,Shoot,Length,Width,Area,
EARLY,17,BC,245,44,72.4,
EARLY,17,BC,190,37,56.4,
EARLY,17,BC,186,35,37.1,
EARLY,17,BC,226,44,72.4,
EARLY,17,BC,198,36,47.4,
EARLY,17,BC,200,37,57.1,
EARLY,17,BC,221,45,74,
EARLY,17,BC,240,47,83.4,
EARLY,17,BC,219,38,63.8,
EARLY,17,BC,188,36,54.5,
EARLY,17,BC,225,49,84.8,
EARLY,17,BC,218,41,67,
EARLY,17,BC,138,24,25.5,
EARLY,17,BC,177,32,42.1,
EARLY,17,BC,75,12,6.9,
EARLY,18,SC,230,37,63.2,
EARLY,18,SC,253,35,59,
EARLY,18,SC,290,47,81.4,
EARLY,18,SC,248,32,55.6,
EARLY,18,SC,245,32,53.2,
EARLY,18,SC,255,33,57.1,
EARLY,18,SC,178,25,34.1,
EARLY,18,SC,265,41,70.8,
EARLY,18,SC,250,32,59.1,
EARLY,18,SC,285,39,67.9,
EARLY,18,SC,272,49,83.1,
EARLY,18,SC,270,40,74.3,
EARLY,18,SC,265,42,72.4,
EARLY,18,SC,270,45,80.4,
EARLY,18,SC,207,33,52.6,
EARLY,18,SC,285,41,74.1,
EARLY,18,SC,262,42,80.1,
EARLY,18,SC,290,38,67.3,
EARLY,18,SC,250,44,65.1,
EARLY,18,SC,288,41,77.2,
EARLY,18,SC,270,45,83.3,
EARLY,18,SC,142,23,22.9,
EARLY,18,SC,138,23,25.9,
EARLY,18,SC,138,23,26,
EARLY,14,BC,180,34,35.8,
EARLY,14,BC,210,43,66,
EARLY,14,BC,220,37,51.7,
EARLY,14,BC,235,45,66.4,
EARLY,14,BC,265,47,87.1,
EARLY,14,BC,195,34,45.2,
EARLY,14,BC,245,46,74.6,
EARLY,14,BC,210,46,71.3,
EARLY,14,BC,210,46,66.2,
EARLY,14,BC,250,48,84.7,
EARLY,14,BC,210,46,71.5,
EARLY,14,BC,215,47,71.1,
EARLY,14,BC,206,43,63.8,
EARLY,14,BC,186,40,55.2,
EARLY,14,BC,170,39,52.2,
EARLY,14,BC,173,26,28.5,
EARLY,14,BC,185,31,35.9,
EARLY,14,BC,186,41,56.2,
EARLY,14,BC,102,26,19.8,
EARLY,14,BC,58,13,5.2,
EARLY,14,BC,60,18,8.1,
LATE,1,BC,207,29,44.9,
LATE,1,BC,18,32,48.2,
LATE,1,BC,159,23,23.7,
LATE,1,BC,184,26,32.3,
LATE,1,BC,186,29,41.4,
LATE,1,BC,182,27,31.8,
LATE,1,BC,145,29,26,
LATE,1,BC,129,23,20.9,
LATE,1,BC,183,35,40.3,
LATE,1,BC,159,23,24.3,
LATE,1,BC,246,35,57.4,
LATE,1,BC,156,25,27.7,
LATE,1,BC,121,15,12.7,
LATE,1,BC,155,24,26.7,
LATE,1,BC,136,20,17,
LATE,1,BC,160,23,26.9,
LATE,1,BC,153,24,23.5,
LATE,1,BC,126,20,18.2,
LATE,1,BC,127,25,25.5,
LATE,5,BC,156,23,26.8,
LATE,5,BC,192,26,32.7,
LATE,5,BC,186,21,25.8,
LATE,5,BC,150,20,21.6,
LATE,5,BC,171,30,38,
LATE,5,BC,146,18,16.7,
LATE,5,BC,159,25,28.2,
LATE,5,BC,147,20,20.7,
LATE,5,BC,151,20,19.3,
LATE,5,BC,168,22,26.7,
LATE,8,BC,255,36,65.5,
LATE,8,BC,156,26,30.9,
LATE,8,BC,208,31,41.9,
LATE,8,BC,282,47,86,
LATE,8,BC,247,37,65.5,
LATE,8,BC,288,38,69.9,
LATE,8,BC,171,30,38.3,
LATE,8,BC,255,40,70.1,
LATE,8,BC,85,13,7.3,
LATE,8,BC,175,32,38.9,
LATE,8,BC,173,31,36.4,
LATE,8,BC,153,40,45.7,
LATE,6,SC,233,45,67.7,
LATE,6,SC,243,32,52.5,
LATE,6,SC,244,35,53.5,
LATE,6,SC,193,29,37.3,
LATE,6,SC,271,53,91.4,
LATE,3,SC,143,19,20.4,
LATE,3,SC,204,28,39.6,
LATE,3,SC,275,40,72.8,
LATE,3,SC,105,13,10.9,
LATE,3,SC,54,8,3.2,
LATE,3,SC,217,22,35.6,
LATE,3,SC,180,18,26.4,
LATE,3,SC,281,48,89.4,
LATE,3,SC,245,35,53.4,
LATE,3,SC,24,4,0.5,
LATE,3,SC,296,41,82.2,
LATE,3,SC,190,21,28,
LATE,3,SC,200,24,33.5,
LATE,3,SC,154,24,27.8,
LATE,3,SC,75,10,5.1,
LATE,3,SC,212,29,40.2,
LATE,3,SC,196,27,36,
LATE,3,SC,170,18,21.5,
LATE,3,SC,222,28,41.8,
LATE,3,SC,53,6,1.9,
LATE,3,SC,184,31,40.5,
LATE,3,SC,278,45,87.7,
LATE,3,SC,251,41,69.8,
LATE,3,SC,197,27,36.7,
LATE,3,SC,205,29,40.4,
LATE,3,SC,116,18,14.7,
LATE,3,SC,278,35,71,
LATE,3,SC,103,18,14.1,
LATE,3,SC,53,7,2.2,
LATE,3,SC,70,9,3.5,
LATE,3,SC,60,8,3,
LATE,3,SC,100,14,8.6,
LATE,3,SC,39,5,1.5,
LATE,9,SC,187,27,36.4,
LATE,9,SC,157,28,34.7,
LATE,9,SC,125,27,20.3,
LATE,9,SC,125,21,18.4,
LATE,9,SC,223,37,56.8,
LATE,9,SC,175,29,33.7,
LATE,9,SC,217,39,59.8,
LATE,9,SC,163,22,25.3,
LATE,9,SC,130,17,17.9,
LATE,9,SC,82,11,6.3,
LATE,9,SC,33,6,1.4,
LATE,9,SC,84,22,13.6,
LATE,9,SC,135,18,19.1,
LATE,9,SC,193,13,9.2,
LATE,9,SC,145,22,25,
LATE,9,SC,196,32,43.3,
LATE,9,SC,160,25,29.4,
LATE,9,TR,223,27,34.7,
LATE,9,TR,236,36,58.8,
LATE,9,TR,196,31,39.4,
LATE,9,TR,171,26,30.1,
LATE,9,TR,170,24,30.3,
LATE,7,TR,245,53,84.8,
LATE,7,TR,220,61,101.9,
LATE,7,TR,193,43,61.3,
LATE,7,TR,191,55,78.8,
LATE,7,TR,64,24,15.5,
LATE,7,TR,292,55,99,
LATE,7,TR,260,41,64.8,
LATE,3,TR,282,36,66.8,
LATE,3,TR,230,33,58,
LATE,3,TR,281,40,77.1,
LATE,3,TR,285,33,64.6,
LATE,3,TR,255,27,47.4,
LATE,3,TR,320,39,86.4,
LATE,3,TR,285,33,69.9,
,,,,,40962,
